date	pruid	prname	prnameFR	numconf	numprob	numdeaths	numtotal	numtoday	numtested
19-03-2020	60	Yukon	Yukon	0	0	0	0	0	
20-03-2020	60	Yukon	Yukon	0	0	0	0	0	
21-03-2020	60	Yukon	Yukon	0	0	0	0	0	
22-03-2020	60	Yukon	Yukon	0	0	0	0	0	
23-03-2020	60	Yukon	Yukon	2	0	0	2	2	
24-03-2020	60	Yukon	Yukon	2	0	0	2	0	
25-03-2020	60	Yukon	Yukon	3	0	0	3	1	
26-03-2020	60	Yukon	Yukon	3	0	0	3	0	
27-03-2020	60	Yukon	Yukon	3	0	0	3	0	
28-03-2020	60	Yukon	Yukon	4	0	0	4	1	
29-03-2020	60	Yukon	Yukon	4	0	0	4	0	
